Category,Name,State,Fill1,Fill2,Fill3,Website
Municipality,Fairview,Utah,1,1,1,http://fairviewcity.com/cms/
Municipality,Grafton,Illinois,1,1,1,http://graftontownship.us/
Municipality,Lindon,Utah,1,1,1,http://lindon.gov/
Municipality,Mansfield,Missouri,1,1,1,http://mansfieldcityhall.org/
Municipality,Marceline,Missouri,1,1,1,http://marcelinemo.us/
County,Montgomery,Missouri,1,1,1,http://mcmo.us/
County,Mineral,Nevada,1,1,1,http://mineralcountynv.us/
Municipality,La Plata,Missouri,1,1,1,http://mobile.cityoflaplata.net/
Water Districts,Metropolitan Water Reclamation District of Greater Chicago (MWRD),Illinois,1,1,1,http://mwrd.org/
County,Osage,Missouri,1,1,1,http://osagecountygov.com/
Municipality,Trimble,Missouri,1,1,1,http://trimblemissouri.org/
Municipality,Big Rock,Illinois,1,1,1,http://villageofbigrock.us/
Municipality,Aurora,Utah,1,1,1,http://www.auroracity.org/contact-us.htm
Water Districts,Arizona Corporation Commission (ACC),Arizona,1,1,1,http://www.azcc.gov/
Water Districts,Arizona Department of Environmental Quality (ADEQ),Arizona,1,1,1,http://www.azdeq.gov/
Municipality,Calumet Park,Illinois,1,1,1,http://www.calumetparkvillage.org/
Municipality,Cary,Illinois,1,1,1,http://www.caryillinois.com/
Municipality,Valparaiso,Indiana,1,1,1,http://www.ci.valparaiso.in.us/
Municipality,La Grange,Missouri,1,1,1,http://www.cityoflagrangemo.gov/
Municipality,Osceola,Missouri,1,1,1,http://www.cityofosceolamo.com/
Municipality,Taos,Missouri,1,1,1,http://www.cityoftaos.org/
Municipality,Wheaton,Missouri,1,1,1,http://www.cityofwheaton.mo.citygovt.org/
Municipality,Cleveland,Utah,1,1,1,http://www.clevelandtown.org/
Municipality,Cole Camp,Missouri,1,1,1,http://www.colecampmo.com/city-of-cole-camp.html
Municipality,Fair Grove,Missouri,1,1,1,http://www.fairgrove.org/
Municipality,Greenfield,Illinois,1,1,1,http://www.greenfieldillinois.org/
Municipality,Griggsville,Illinois,1,1,1,http://www.griggsville-il.org/
Municipality,Hampshire,Illinois,1,1,1,http://www.hampshiretownship.com/
Municipality,Hartford City,Indiana,1,1,1,http://www.hartfordcity.net/
Water Districts,Aqua Indiana,Indiana,1,1,1,http://www.ingalls.in.gov/water-department
Municipality,Knightstown,Indiana,1,1,1,http://www.knightstown.in/
Water Districts,Missouri Association of Sewer Districts (MOASD),Missouri,1,1,1,http://www.moasd.com/
Municipality,New Madrid,Missouri,1,1,1,http://www.new-madrid.mo.us/
Municipality,Petersburg,Indiana,1,1,1,http://www.petersburg.in.gov/
County,Phelps,Missouri,1,1,1,http://www.phelpscounty.org/
County,Pulaski,Missouri,1,1,1,http://www.pulaskicountymo.org/
Municipality,Cornell,Illinois,1,1,1,https://19thcircuitcourt.state.il.us/
County,Adair,Iowa,1,1,1,https://adaircounty.iowa.gov/
County,Adair,Missouri,1,1,1,https://adaircountymissouri.com/
County,Adams,Iowa,1,1,1,https://adamscounty.iowa.gov/
Municipality,Cairo,Illinois,1,1,1,https://alexandercounty.illinois.gov/
County,Allamakee,Iowa,1,1,1,https://allamakeecounty.iowa.gov/
Water Districts,Indiana American Water,Indiana,1,1,1,https://amwater.com/inaw/
Municipality,Anderson,Missouri,1,1,1,https://andersonmo.us/
County,Andrew,Missouri,1,1,1,https://andrewcounty.org/
Municipality,Annawan,Illinois,1,1,1,https://annawanil.org/
County,Appanoose,Iowa,1,1,1,https://appanoosecounty.iowa.gov/
Municipality,Ashland,Illinois,1,1,1,https://apps.ilsos.gov/facilityfinder/facilityfinder?command=getFacilityDetails&facilityId=284
Municipality,Arthur,Illinois,1,1,1,https://arthur-il.gov/
Municipality,Ashmore,Illinois,1,1,1,https://ashmore.gov/about-us
County,Atchison,Missouri,1,1,1,https://atchisoncounty.org/
Municipality,Attica,Indiana,1,1,1,https://attica-in.gov/
Municipality,Auburn,Illinois,1,1,1,https://auburnillinois.us/
Municipality,Aurora,Indiana,1,1,1,https://aurora.in.us/
Municipality,Avondale,Arizona,1,1,1,https://avondale.us
Water Districts,Mohave Electric Cooperative,Arizona,1,1,1,https://azcc.gov/utilities
Municipality,Barrington Hills,Illinois,1,1,1,https://barringtonhills-il.gov/
Municipality,Batesville,Indiana,1,1,1,https://batesvilleindiana.us/
County,Beaver,Utah,1,1,1,https://beaver.utah.gov/
Municipality,Bedford,Indiana,1,1,1,https://bedford.in.us/
Municipality,Billings,Missouri,1,1,1,https://billingsmo.com/
Municipality,Bloomington,Indiana,1,1,1,https://bloomington.in.gov/
Municipality,Blue Island,Illinois,1,1,1,https://blueislandchamber.org/featured_item/calumet-township/
Municipality,Blue Mound,Illinois,1,1,1,https://bluemoundil.gov/
Water Districts,Bona Vista Water Improvement District,Utah,1,1,1,https://bonavistawater.gov/
County,Boone,Iowa,1,1,1,https://boonecounty.iowa.gov/
Municipality,Bosque Farms,New Mexico,1,1,1,https://bosquefarmsnm.gov/
Municipality,Boulder,Utah,1,1,1,https://boulder.utah.gov/
Municipality,Bowling Green,Missouri,1,1,1,https://bowlinggreen-mo.gov/
Municipality,Bradley,Illinois,1,1,1,https://bradleyil.org/
Municipality,Branson West,Missouri,1,1,1,https://bransonmo.gov/
Municipality,Brazil,Indiana,1,1,1,https://brazil.in.gov/
Municipality,Breckenridge Hills,Missouri,1,1,1,https://breckenridge-hills.org/
Municipality,Brian Head,Utah,1,1,1,https://brianheadtown.utah.gov/
Municipality,Bridgeview,Illinois,1,1,1,https://bridgeview-il.gov/
Municipality,Virden,New Mexico,1,1,1,https://bridgingthepast.com/2018/09/16/virden-new-mexico/
Municipality,Broadview,Illinois,1,1,1,https://broadview-il.gov/
Municipality,Brookfield,Missouri,1,1,1,https://brookfieldcity.com/
Municipality,Brookville,Indiana,1,1,1,https://brookville.in.gov/
Municipality,Buckeye,Arizona,1,1,1,https://buckeye.us
County,Buena Vista,Iowa,1,1,1,https://buenavistacounty.iowa.gov/
Municipality,Hamburg,Illinois,1,1,1,https://buffcitysoap.com/
Municipality,Bullhead City,Arizona,1,1,1,https://bullheadcity.org
Municipality,Dalzell,Illinois,1,1,1,https://bureaucounty-il.gov/municipal-zoning-agencies/
Municipality,Burnham,Illinois,1,1,1,https://burnham-il.gov/
Municipality,Bushnell,Illinois,1,1,1,https://bushnell.illinois.gov/
County,Butler,Iowa,1,1,1,https://butlercounty.iowa.gov/
County,Butler,Missouri,1,1,1,https://butlercountymo.com/
Municipality,Cahokia,Illinois,1,1,1,https://cahokiaheightsil.us/
County,Callaway,Missouri,1,1,1,https://callawaycounty.org/
Municipality,Calumet City,Illinois,1,1,1,https://calumetcity.org/
Municipality,Camargo,Illinois,1,1,1,https://camargotownship.org/
Municipality,Campton Hills,Illinois,1,1,1,https://camptonhills.illinois.gov/
Municipality,Camp Verde,Arizona,1,1,1,https://campverde.net
Municipality,Carbon Cliff,Illinois,1,1,1,https://carbon-cliff.com/
Municipality,Casa Grande,Arizona,1,1,1,https://casagrandeaz.gov
Municipality,Caseyville,Illinois,1,1,1,https://caseyville.org/
County,Cedar,Iowa,1,1,1,https://cedarcounty.iowa.gov/
County,Cerro Gordo,Iowa,1,1,1,https://cerrogordo.gov/
Municipality,Cerro Gordo,Illinois,1,1,1,https://cerrogordo.gov/
Municipality,Champaign,Illinois,1,1,1,https://champaignil.gov/
Water Districts,Champaign Public Works Department,Illinois,1,1,1,https://champaignil.gov/public-works/
Municipality,Charleston,Utah,1,1,1,https://charlestontown.utah.gov/
Municipality,Chebanse,Illinois,1,1,1,https://chebanseillinois.org/
Municipality,Chesterfield,Indiana,1,1,1,https://chesterfield.in.gov/
Municipality,Alamogordo,New Mexico,1,1,1,https://ci.alamogordo.nm.us/
Municipality,Delavan,Illinois,1,1,1,https://ci.delavan.wi.us/
Municipality,Harrisonville,Missouri,1,1,1,https://ci.harrisonville.mo.us/1139/Welcome-to-Harrisonville
Municipality,Herscher,Illinois,1,1,1,https://citykankakee-il.gov/
Municipality,Amboy,Illinois,1,1,1,https://cityofamboy.com/
Municipality,Anna,Illinois,1,1,1,https://cityofanna.org/
Municipality,Archie,Missouri,1,1,1,https://cityofarchie.org/
Municipality,Assumption,Illinois,1,1,1,https://cityofassumption.org/
Municipality,Beardstown,Illinois,1,1,1,https://cityofbeardstown.org/
Municipality,Buckner,Missouri,1,1,1,https://cityofbuckner.org/
Municipality,Buffalo,Missouri,1,1,1,https://cityofbuffalomo.gov/
Municipality,Bunker Hill,Illinois,1,1,1,https://cityofbunkerhillil.org/
Municipality,California,Missouri,1,1,1,https://cityofcalifornia.net/
Municipality,Carlinville,Illinois,1,1,1,https://cityofcarlinville.com/
Municipality,Chaffee,Missouri,1,1,1,https://cityofchaffee.com/chf_wp/
Municipality,Christopher,Illinois,1,1,1,https://cityofchristopher.org/
Municipality,Clinton,Indiana,1,1,1,https://cityofclintonutilities.com/
Municipality,Cool Valley,Missouri,1,1,1,https://cityofcoolvalley.org/
Municipality,Dearborn,Missouri,1,1,1,https://cityofdearbornmo.org/
Municipality,Edgerton,Missouri,1,1,1,https://cityofedgerton.org/
Municipality,El Dorado Springs,Missouri,1,1,1,https://cityofeldoradospringsmo.com/
Municipality,Elephant Butte,New Mexico,1,1,1,https://cityofelephantbutte.com/
Municipality,Elsberry,Missouri,1,1,1,https://cityofelsberry.com/
Municipality,Excelsior Springs,Missouri,1,1,1,https://cityofesmo.com/
Municipality,Exeter,Illinois,1,1,1,https://cityofexeter.ca.gov/city-council/
Municipality,Fairfield,Illinois,1,1,1,https://cityoffairfieldillinois.com/
Water Districts,Iowa City Water Division,Iowa,1,1,1,https://cityoffairfieldiowa.com/202/Water-Department
Municipality,Farmer City,Illinois,1,1,1,https://cityoffarmercity.org/
Municipality,Fayette,Missouri,1,1,1,https://cityoffayettemo.com/
Municipality,Foristell,Missouri,1,1,1,https://cityofforistell.org/
Municipality,Freeport,Illinois,1,1,1,https://cityoffreeport.org/
Municipality,Gilman,Illinois,1,1,1,https://cityofgilman.com/
Municipality,Glasgow,Illinois,1,1,1,https://cityofglasgow.gov/
Municipality,Glenaire,Missouri,1,1,1,https://cityofglenaire.org/
Municipality,Grain Valley,Missouri,1,1,1,https://cityofgrainvalley.org/
Municipality,Greencastle,Indiana,1,1,1,https://cityofgreencastle.com/
Municipality,Hoopeston,Illinois,1,1,1,https://cityofhoopeston.com/
Municipality,Jeffersonville,Indiana,1,1,1,https://cityofjeff.net/
Municipality,Kennett,Missouri,1,1,1,https://cityofkennettmo.com/
Municipality,Knob Noster,Missouri,1,1,1,https://cityofkn.net/
Municipality,Lake Winnebago,Missouri,1,1,1,https://cityoflakewinnebago.com/
Municipality,Leadwood,Missouri,1,1,1,https://cityofleadwood.com/
Municipality,Leeton,Missouri,1,1,1,https://cityofleeton.com/
Municipality,Lordsburg,New Mexico,1,1,1,https://cityoflordsburg.com/
Municipality,Lee’s Summit,Missouri,1,1,1,https://cityofls.net/
Municipality,Maysville,Missouri,1,1,1,https://cityofmaysvillemo.com/
Municipality,Albany,Indiana,1,1,1,https://cityofnewalbany.com/
Municipality,Norborne,Missouri,1,1,1,https://cityofnorborne.org/
Municipality,Northmoor,Missouri,1,1,1,https://cityofnorthmoormo.com/
Municipality,Oak Grove,Missouri,1,1,1,https://cityofoakgrove.com/
Municipality,Osborn,Missouri,1,1,1,https://cityofosborn.com/
Municipality,Owensville,Missouri,1,1,1,https://cityofowensville.com/
Municipality,Page,Arizona,1,1,1,https://cityofpage.org/
Municipality,Princeton,Missouri,1,1,1,https://cityofprincetonmo.com/
Municipality,Richmond,Missouri,1,1,1,https://cityofrichmondmo.org/
Municipality,Rising Sun,Indiana,1,1,1,https://cityofrisingsun.com/
Municipality,Russellville,Missouri,1,1,1,https://cityofrussellvillemo.com/
Municipality,Slater,Missouri,1,1,1,https://cityofslater.com/
Municipality,Stockton,Missouri,1,1,1,https://cityofstocktonmo.com/
Municipality,Sweet Springs,Missouri,1,1,1,https://cityofsweetsprings.org/
Municipality,Tombstone,Arizona,1,1,1,https://cityoftombstoneaz.gov/
Municipality,Troy,Missouri,1,1,1,https://cityoftroymissouri.com/
Municipality,Urich,Missouri,1,1,1,https://cityofurich.municipalimpact.com/city-hall
Municipality,Versailles,Missouri,1,1,1,https://cityofversaillesmo.com/
Municipality,Waterloo,Iowa,1,1,1,https://cityofwaterlooiowa.com/
Water Districts,Waterloo Water Works,Iowa,1,1,1,https://cityofwaterlooiowa.com/departments/water_works/how_to_pay_my_bill.php
Municipality,Weaubleau,Missouri,1,1,1,https://cityofweaubleau.org/
Municipality,Wellston,Missouri,1,1,1,https://cityofwellstonmo.org/government/city-clerk-administrator/
Municipality,Kahoka,Missouri,1,1,1,https://clarkcountymo.org/
County,Clark,Missouri,1,1,1,https://clarkcountymo.org/
Municipality,Clarkston,Utah,1,1,1,https://clarkstonutah.gov/
County,Clay,Iowa,1,1,1,https://claycounty.iowa.gov/
Municipality,Clearfield,Utah,1,1,1,https://clearfield.city/
Municipality,Clifton,Arizona,1,1,1,https://cliftonaz.com/
Municipality,Clinton,Illinois,1,1,1,https://clintonco.illinois.gov/
County,Clinton,Missouri,1,1,1,https://clintoncomo.org/
Municipality,Clinton,Missouri,1,1,1,https://clintonmo.com/city-of-clinton/
Municipality,Carol Stream,Illinois,1,1,1,https://cmap.illinois.gov/procurement/
Municipality,Arenzville,Illinois,1,1,1,https://co.cass.il.us/
Municipality,Altona,Illinois,1,1,1,https://co.knox.il.us/
Municipality,"Abingdon,Knox,,",Illinois,1,1,1,https://co.knox.il.us/county-clerk/elections-information/elected-officials/municipal-officials/
Municipality,Cloudcroft,New Mexico,1,1,1,https://co.otero.nm.us/
County,Otero,New Mexico,1,1,1,https://co.otero.nm.us/
Municipality,Coal City,Illinois,1,1,1,https://coalcity-il.gov/
Municipality,Diamond,Illinois,1,1,1,https://coalcity-il.gov/
Municipality,Herrick,Illinois,1,1,1,https://codelibrary.amlegal.com/codes/herrick/latest/herrick_il/0-0-0-5
Municipality,Columbia City,Indiana,1,1,1,https://columbiacity.net/
Municipality,Cordova,Illinois,1,1,1,https://cordovatownship.com/
Municipality,Cornish,Utah,1,1,1,https://cornish.us
Municipality,Country Club Hills,Illinois,1,1,1,https://countryclubhills.org/
County,Mora,New Mexico,1,1,1,https://countyofmora.com/
County,Crawford,Missouri,1,1,1,https://crawfordcountymo.net/
Municipality,Crestwood,Illinois,1,1,1,https://crestwood.illinois.gov/
Municipality,Crete,Illinois,1,1,1,https://cretetownship.com/
Municipality,Crossville,Illinois,1,1,1,https://crossvilletn.gov/
Municipality,Cuba,Illinois,1,1,1,https://cubatwpil.gov/
Water Districts,Central Utah Water Conservancy District,Utah,1,1,1,https://cuwcd.gov/
Municipality,Danville,Indiana,1,1,1,https://danvillein.gov/
Municipality,Darien,Illinois,1,1,1,https://darien.il.us/city-services
County,Daviess,Missouri,1,1,1,https://daviesscountymo.gov/
Municipality,Carrier Mills,Illinois,1,1,1,https://dceo.illinois.gov/news/press-release.26898.html
Water Districts,Beatty Water and Sanitation District,Nevada,1,1,1,https://dcnr.nv.gov/news/finding-of-no-significant-impact-for-beatty-water-and-sanitation-district
Municipality,Deer Creek,Illinois,1,1,1,https://deercreekillinois.org/
Water Districts,Kishwaukee Water Reclamation District,Illinois,1,1,1,https://dekalbcounty.org/
Municipality,Genoa,Illinois,1,1,1,https://dekalbcounty.org/
County,Delaware,Iowa,1,1,1,https://delawarecounty.iowa.gov/
Water Districts,Tucson Electric Power (TEP),Arizona,1,1,1,https://des.az.gov/liheap
County,Des Moines,Iowa,1,1,1,https://desmoinescounty.iowa.gov/
Municipality,Detroit,Illinois,1,1,1,https://detroitmi.gov/
County,Dickinson,Iowa,1,1,1,https://dickinsoncountyiowa.gov/
Municipality,Dieterich,Illinois,1,1,1,https://dieterichillinois.com/
Municipality,Crocker,Missouri,1,1,1,https://diojeffcity.org/st-cornelius-crocker/
Municipality,Salisbury,Missouri,1,1,1,https://diojeffcity.org/st-joseph-salisbury/
Municipality,Dongola,Illinois,1,1,1,https://dongolaillinois.com/
Municipality,Hindsboro,Illinois,1,1,1,https://douglascountyil.gov/
Water Districts,DuPage Water Commission,Illinois,1,1,1,https://dpwc.org/
Municipality,Hillsboro,Missouri,1,1,1,https://dss.mo.gov/
Municipality,Duchesne,Utah,1,1,1,https://duchesne.utah.gov/
County,Duchesne,Utah,1,1,1,https://duchesne.utah.gov/
Municipality,Dunkirk,Indiana,1,1,1,https://dunkirkin.gov/government/
County,Dunklin,Missouri,1,1,1,https://dunklincounty.org/
Municipality,Duquesne,Missouri,1,1,1,https://duquesnemo.org/
Municipality,Du Quoin,Illinois,1,1,1,https://duquoinil.gov/
Municipality,Eagle Mountain,Utah,1,1,1,https://eaglemountain.gov/
Water Districts,Eagle Mountain City Public Utilities,Utah,1,1,1,https://eaglemountain.gov/government/public-utilities/
Municipality,East Carbon,Utah,1,1,1,https://eastcarboncity.org/
Municipality,Effingham,Illinois,1,1,1,https://effinghamcountyil.gov/
Municipality,Causey,New Mexico,1,1,1,https://elchuqueno.com/city-of-dust-causey-new-mexico/
Municipality,Elgin,Illinois,1,1,1,https://elginil.gov/
Municipality,Elk Grove Village,Illinois,1,1,1,https://elkgrovetownship.com/
Municipality,Elkhart,Indiana,1,1,1,https://elkhartcounty.com/en/
